time (s),sample(VT("/net1") 4.5u 320u "linear" 5u ) (V)
4.500E-6,-269.2E-9
9.500E-6,18.80E-3
14.50E-6,37.61E-3
19.50E-6,56.39E-3
24.50E-6,75.12E-3
29.50E-6,93.93E-3
34.50E-6,112.7E-3
39.50E-6,131.5E-3
44.50E-6,150.1E-3
49.50E-6,168.9E-3
54.50E-6,187.8E-3
59.50E-6,206.5E-3
64.50E-6,225.3E-3
69.50E-6,244.1E-3
74.50E-6,262.9E-3
79.50E-6,281.7E-3
84.50E-6,300.0E-3
89.50E-6,318.9E-3
94.50E-6,337.7E-3
99.50E-6,356.5E-3
104.5E-6,375.2E-3
109.5E-6,394.0E-3
114.5E-6,412.8E-3
119.5E-6,431.6E-3
124.5E-6,450.2E-3
129.5E-6,469.0E-3
134.5E-6,487.9E-3
139.5E-6,506.6E-3
144.5E-6,525.4E-3
149.5E-6,544.2E-3
154.5E-6,563.0E-3
159.5E-6,581.8E-3
164.5E-6,599.6E-3
169.5E-6,618.4E-3
174.5E-6,637.2E-3
179.5E-6,656.0E-3
184.5E-6,674.8E-3
189.5E-6,693.6E-3
194.5E-6,712.4E-3
199.5E-6,731.2E-3
204.5E-6,749.8E-3
209.5E-6,768.6E-3
214.5E-6,787.4E-3
219.5E-6,806.2E-3
224.5E-6,824.9E-3
229.5E-6,843.7E-3
234.5E-6,862.6E-3
239.5E-6,881.3E-3
244.5E-6,899.6E-3
249.5E-6,918.5E-3
254.5E-6,937.3E-3
259.5E-6,956.1E-3
264.5E-6,974.8E-3
269.5E-6,993.6E-3
274.5E-6,1.012
279.5E-6,1.031
284.5E-6,1.050
289.5E-6,1.069
294.5E-6,1.087
299.5E-6,1.106
304.5E-6,1.125
309.5E-6,1.144
314.5E-6,1.162
319.5E-6,1.181
