time (s),sample(VT("/net1") 21.09375n 1.5u "linear" 23.4375n) (V)
21.09E-9,26.47E-3
44.53E-9,18.92E-3
67.97E-9,37.56E-3
91.41E-9,56.60E-3
114.8E-9,75.29E-3
138.3E-9,94.29E-3
161.7E-9,113.4E-3
185.2E-9,132.4E-3
208.6E-9,150.4E-3
232.0E-9,169.3E-3
255.5E-9,188.3E-3
278.9E-9,207.4E-3
302.3E-9,226.1E-3
325.8E-9,245.2E-3
349.2E-9,264.3E-3
372.7E-9,283.4E-3
396.1E-9,299.7E-3
419.5E-9,318.3E-3
443.0E-9,337.4E-3
466.4E-9,356.5E-3
489.8E-9,375.2E-3
513.3E-9,394.3E-3
536.7E-9,413.4E-3
560.2E-9,432.6E-3
583.6E-9,450.5E-3
607.0E-9,469.5E-3
630.5E-9,488.6E-3
653.9E-9,507.7E-3
677.3E-9,526.5E-3
700.8E-9,545.5E-3
724.2E-9,564.6E-3
747.7E-9,583.8E-3
771.1E-9,596.8E-3
794.5E-9,614.8E-3
818.0E-9,633.9E-3
841.4E-9,653.0E-3
864.8E-9,671.8E-3
888.3E-9,690.8E-3
911.7E-9,710.0E-3
935.2E-9,729.1E-3
958.6E-9,747.1E-3
982.0E-9,766.0E-3
1.005E-6,785.1E-3
1.029E-6,804.2E-3
1.052E-6,823.0E-3
1.076E-6,842.1E-3
1.099E-6,861.2E-3
1.123E-6,880.3E-3
1.146E-6,896.6E-3
1.170E-6,915.2E-3
1.193E-6,934.3E-3
1.216E-6,953.3E-3
1.240E-6,972.1E-3
1.263E-6,991.1E-3
1.287E-6,1.010
1.310E-6,1.029
1.334E-6,1.047
1.357E-6,1.066
1.380E-6,1.085
1.404E-6,1.104
1.427E-6,1.123
1.451E-6,1.142
1.474E-6,1.161
1.498E-6,1.180
