time (s),sample(VT("/net1") 4.5u 320u "linear" 5u ) (V)
4.500E-6,-93.92E-9
9.500E-6,19.23E-3
14.50E-6,38.33E-3
19.50E-6,57.59E-3
24.50E-6,76.13E-3
29.50E-6,95.41E-3
34.50E-6,114.5E-3
39.50E-6,133.8E-3
44.50E-6,151.1E-3
49.50E-6,170.4E-3
54.50E-6,189.6E-3
59.50E-6,208.9E-3
64.50E-6,227.5E-3
69.50E-6,246.8E-3
74.50E-6,265.9E-3
79.50E-6,285.2E-3
84.50E-6,300.0E-3
89.50E-6,319.3E-3
94.50E-6,338.4E-3
99.50E-6,357.8E-3
104.5E-6,376.4E-3
109.5E-6,395.7E-3
114.5E-6,414.9E-3
119.5E-6,434.2E-3
124.5E-6,451.5E-3
129.5E-6,470.9E-3
134.5E-6,490.1E-3
139.5E-6,509.4E-3
144.5E-6,528.0E-3
149.5E-6,547.3E-3
154.5E-6,566.4E-3
159.5E-6,585.7E-3
164.5E-6,595.3E-3
169.5E-6,614.5E-3
174.5E-6,633.7E-3
179.5E-6,653.0E-3
184.5E-6,671.6E-3
189.5E-6,691.0E-3
194.5E-6,710.1E-3
199.5E-6,729.5E-3
204.5E-6,746.8E-3
209.5E-6,766.1E-3
214.5E-6,785.3E-3
219.5E-6,804.6E-3
224.5E-6,823.2E-3
229.5E-6,842.5E-3
234.5E-6,861.6E-3
239.5E-6,880.9E-3
244.5E-6,895.5E-3
249.5E-6,914.8E-3
254.5E-6,933.9E-3
259.5E-6,953.2E-3
264.5E-6,971.8E-3
269.5E-6,991.1E-3
274.5E-6,1.010
279.5E-6,1.029
284.5E-6,1.047
289.5E-6,1.066
294.5E-6,1.085
299.5E-6,1.104
304.5E-6,1.123
309.5E-6,1.142
314.5E-6,1.161
319.5E-6,1.180
