time (s),sample(VT("/net1") 4.5u 320u "linear" 5u ) (V)
4.500E-6,-1.515E-6
9.500E-6,18.96E-3
14.50E-6,37.85E-3
19.50E-6,56.86E-3
24.50E-6,75.44E-3
29.50E-6,94.46E-3
34.50E-6,113.4E-3
39.50E-6,132.5E-3
44.50E-6,150.3E-3
49.50E-6,169.3E-3
54.50E-6,188.3E-3
59.50E-6,207.4E-3
64.50E-6,226.0E-3
69.50E-6,245.1E-3
74.50E-6,264.1E-3
79.50E-6,283.1E-3
84.50E-6,299.5E-3
89.50E-6,318.5E-3
94.50E-6,337.5E-3
99.50E-6,356.6E-3
104.5E-6,375.3E-3
109.5E-6,394.3E-3
114.5E-6,413.4E-3
119.5E-6,432.5E-3
124.5E-6,450.4E-3
129.5E-6,469.5E-3
134.5E-6,488.5E-3
139.5E-6,507.6E-3
144.5E-6,526.3E-3
149.5E-6,545.4E-3
154.5E-6,564.4E-3
159.5E-6,583.4E-3
164.5E-6,596.8E-3
169.5E-6,615.8E-3
174.5E-6,634.8E-3
179.5E-6,653.9E-3
184.5E-6,672.5E-3
189.5E-6,691.6E-3
194.5E-6,710.6E-3
199.5E-6,729.8E-3
204.5E-6,747.7E-3
209.5E-6,766.8E-3
214.5E-6,785.8E-3
219.5E-6,804.9E-3
224.5E-6,823.6E-3
229.5E-6,842.7E-3
234.5E-6,861.7E-3
239.5E-6,880.8E-3
244.5E-6,897.2E-3
249.5E-6,916.2E-3
254.5E-6,935.2E-3
259.5E-6,954.3E-3
264.5E-6,972.9E-3
269.5E-6,992.0E-3
274.5E-6,1.011
279.5E-6,1.030
284.5E-6,1.048
289.5E-6,1.067
294.5E-6,1.086
299.5E-6,1.105
304.5E-6,1.124
309.5E-6,1.143
314.5E-6,1.162
319.5E-6,1.181
